Name,Code,Region,Industry,is_alive,expiry_date
"Tianjin Good Hand Railway Holding CO.,Ltd.",000594,North China,Transportation,0,2015-05
BAOTA INDUSTRY CO.?LTD.,000595,NorthWest China,Manufacturing,1,
"ANHUI GUJING DISTILLERY CO.,LTD",000596,East China,Manufacturing,1,
"NORTHEAST PHARMACEUTICAL GROUP CO.,LTD",000597,NorthEast China,Manufacturing,1,
"Chengdu Xingrong Environmental Co., Ltd.",000598,SouthWest China,Utilities,1,
"QINGDAO DOUBLESTAR CO,LTD.",000599,East China,Manufacturing,1,
"JOINTO ENERGY INVESTMENT CO., LTD. HEBEI",000600,North China,Utilities,1,
"GUANGDONG SHAONENG GROUP CO.,LTD",000601,South China,Utilities,1,
"Shengda Resources Co.,Ltd.",000603,North China,Mining,1,
"BOHAI WATER  INDUSTRY CO.,LTD",000605,North China,Utilities,1,
"Shunliban Information Service Co.,Ltd",000606,NorthWest China,Information Technology,1,
"Zhejiang Huamei Holding CO., LTD.",000607,East China,Media,1,
"YANGGUANG CO.,LTD.",000608,South China,Estate,1,
"Beijing Zodi Investment Co., Ltd.",000609,North China,Comprehensive,1,
"Xi""an Tourism Co., Ltd.",000610,NorthWest China,Environment Protection,1,
"Inner Mongolia TianShou Technology&development, CO.?LTD.",000611,North China,Manufacturing,1,
"JiaoZuo WanFang Aluminum Manufacturing Co., Ltd",000612,Central China,Manufacturing,1,
"HAINAN DADONGHAI TOURISM CENTRE (HOLDINGS) CO.,LTD.",000613,South China,Food,1,
"Aoyuan Beauty Valley Technology Co.,Ltd.",000615,Central China,Estate,1,
"HNA INVESTMENT GROUP CO.,LTD.",000616,NorthEast China,Estate,1,
CNPC Capital Company Limited,000617,NorthWest China,Financial,1,
"WUHU CONCH PROFILES AND SCIENCE CO., LTD",000619,East China,Manufacturing,1,
"MACROLINK CULTURALTAINMENT DEVELOPMENT CO., LTD.",000620,North China,Estate,1,
"Bit Technology Holding Co.,Ltd.",000621,NorthEast China,Information Technology,0,2004-09
"HENGLI INDUSTRIAL DEVELOPMENT GROUP CO.,LTD",000622,Central China,Manufacturing,1,
"Jilin Aodong Pharmaceutical Group Co., Ltd.",000623,NorthEast China,Manufacturing,1,
Chongqing Changan Automobile Company Limited,000625,SouthWest China,Manufacturing,1,
"Grand Industrial Holding Co., Ltd",000626,East China,Wholesale & Retail,1,
"Hubei Biocause Pharmaceutical Co., Ltd.",000627,Central China,Financial,1,
"CHENGDU Hi-Tech DEVELOPMENT GR0UP CO.,LTD",000628,SouthWest China,Construction,1,
"Pangang Group Vanadium Titanium & Resources Co., Ltd.",000629,SouthWest China,Manufacturing,1,
"Tongling Nonferrous Metals Group Co.,Ltd.",000630,East China,Manufacturing,1,
SHUNFA HENGYE Corporation,000631,NorthEast China,Estate,1,
"FUJIAN SANMU GROUP CO.,LTD",000632,East China,Wholesale & Retail,1,
"XINJIANG HEJIN HOLDING CO.,LTD",000633,NorthWest China,Manufacturing,1,
